#,IP,Ping (ms),Packet Loss,Jitter (ms),Latency (ms),Upload (Mbps),Download (Mbps)
1,203.30.189.88,76,0.0,54,115,1.75,7.76
2,194.152.44.193,83,0.0,61,157,1.65,7.47
3,172.67.219.212,133,0.0,100,265,1.69,7.14
4,104.24.48.107,154,0.0,93,253,1.38,7.13
5,205.233.181.37,60,0.0,72,164,1.63,7.0
6,185.170.166.23,119,0.0,70,164,1.49,6.83
7,199.212.90.25,57,0.0,47,116,1.62,6.48
8,45.85.119.121,72,0.0,53,119,1.65,6.48
9,185.148.105.128,96,0.0,55,132,1.51,6.47
10,212.183.88.40,82,0.0,42,133,1.64,6.42
